SAGA,TFIID group	 Gene ID	 Common Name
TFIID-dominated	YBR273C	
TFIID-dominated	YBR274W	CHK1
TFIID-dominated	YBR275C	RIF1
TFIID-dominated	YBR276C	PPS1
TFIID-dominated	YBR277C	
TFIID-dominated	YBR278W	DPB3
TFIID-dominated	YBR279W	PAF1
TFIID-dominated	YBR280C	
TFIID-dominated	YBR281C	
TFIID-dominated	YBR282W	MRPL27
TFIID-dominated	YBR283C	SSH1
TFIID-dominated	YBR284W	
no call	YBR285W	
SAGA-dominated	YBR286W	APE3
SAGA-dominated	YBR287W	
TFIID-dominated	YBR288C	APM3
TFIID-dominated	YBR289W	SNF5
TFIID-dominated	YBR290W	BSD2
TFIID-dominated	YBR291C	CTP1
no call	YBR292C	
TFIID-dominated	YBR293W	
TFIID-dominated	YBR294W	SUL1
TFIID-dominated	YBR295W	PCA1
no call	YBR296C	PHO89
no call	YBR297W	MAL33
TFIID-dominated	YBR298C	MAL31
no call	YBR299W	MAL32
no call	YBR300C	
SAGA/TFIID	YBR301W	DAN3
TFIID-dominated	YBR302C	COS2
TFIID-dominated	YCL001W	RER1
no call	YCL002C	
TFIID-dominated	YCL003W	
TFIID-dominated	YCL004W	PGS1
TFIID-dominated	YCL005W	
TFIID-dominated	YCL006C	
TFIID-dominated	YCL007C	CWH36
TFIID-dominated	YCL008C	STP22
TFIID-dominated	YCL009C	ILV6
TFIID-dominated	YCL010C	SGF29
TFIID-dominated	YCL011C	GBP2
TFIID-dominated	YCL012W	
TFIID-dominated	YCL013W	
TFIID-dominated	YCL014W	BUD3
TFIID-dominated	YCL016C	DCC1
TFIID-dominated	YCL017C	NFS1
TFIID-dominated	YCL018W	LEU2
SAGA-dominated	YCL019W	
SAGA-dominated	YCL020W	
TFIID-dominated	YCL021W	
TFIID-dominated	YCL022C	
no call	YCL023C	
TFIID-dominated	YCL024W	KCC4
SAGA-dominated	YCL025C	AGP1
no call	YCL026C	FRM2
SAGA-dominated	YCL027W	FUS1
TFIID-dominated	YCL028W	RNQ1
TFIID-dominated	YCL029C	BIK1
SAGA-dominated	YCL030C	HIS4
TFIID-dominated	YCL031C	RRP7
TFIID-dominated	YCL032W	STE50
TFIID-dominated	YCL033C	
TFIID-dominated	YCL034W	LSB5
SAGA-dominated	YCL035C	GRX1
TFIID-dominated	YCL036W	GFD2
TFIID-dominated	YCL037C	SRO9
TFIID-dominated	YCL038C	AUT4
no call	YCL039W	MOH2
SAGA-dominated	YCL040W	GLK1
no call	YCL041C	
SAGA-dominated	YCL042W	
TFIID-dominated	YCL043C	PDI1
TFIID-dominated	YCL044C	
TFIID-dominated	YCL045C	
TFIID-dominated	YCL046W	
TFIID-dominated	YCL047C	
no call	YCL048W	
TFIID-dominated	YCL049C	
TFIID-dominated	YCL050C	APA1
TFIID-dominated	YCL051W	LRE1
TFIID-dominated	YCL052C	PBN1
TFIID-dominated	YCL053C	
TFIID-dominated	YCL054W	SPB1
SAGA-dominated	YCL055W	KAR4
TFIID-dominated	YCL056C	
TFIID-dominated	YCL057W	PRD1
TFIID-dominated	YCL058C	FYV5
TFIID-dominated	YCL059C	KRR1
TFIID-dominated	YCL060C	
TFIID-dominated	YCL061C	MRC1
TFIID-dominated	YCL062W	
TFIID-dominated	YCL063W	
TFIID-dominated	YCL064C	CHA1
TFIID-dominated	YCL065W	
TFIID-dominated	YCL066W	HMLALPHA1
SAGA-dominated	YCL067C	HMLALPHA2
TFIID-dominated	YCL068C	
TFIID-dominated	YCL069W	
SAGA/TFIID	YCL073C	
no call	YCL074W	
no call	YCL075W	
no call	YCL076W	
TFIID-dominated	YCLX01W	
TFIID-dominated	YCLX02C	
no call	YCLX03C	
TFIID-dominated	YCLX04W	
TFIID-dominated	YCLX05C	
TFIID-dominated	YCLX06C	
SAGA-dominated	YCLX07W	
no call	YCLX08C	
SAGA-dominated	YCLX09W	
TFIID-dominated	YCLX10C	
TFIID-dominated	YCLX11W	
TFIID-dominated	YCLX12W	
no call	YCR001W	
TFIID-dominated	YCR002C	CDC10
TFIID-dominated	YCR003W	MRPL32
TFIID-dominated	YCR004C	YCP4
SAGA-dominated	YCR005C	CIT2
SAGA/TFIID	YCR006C	
TFIID-dominated	YCR007C	
TFIID-dominated	YCR008W	SAT4
TFIID-dominated	YCR009C	RVS161
TFIID-dominated	YCR010C	ADY2
TFIID-dominated	YCR011C	ADP1
SAGA-dominated	YCR012W	PGK1
SAGA-dominated	YCR013C	
TFIID-dominated	YCR014C	POL4
TFIID-dominated	YCR015C	
TFIID-dominated	YCR016W	
no call	YCR017C	CWH43
no call	YCR018C	SRD1
no call	YCR019W	MAK32
TFIID-dominated	YCR020C	PET18
TFIID-dominated	YCR020C-A	MAK31
SAGA-dominated	YCR021C	HSP30
no call	YCR022C	
TFIID-dominated	YCR023C	
TFIID-dominated	YCR024C	
SAGA-dominated	YCR024C-A	PMP1
TFIID-dominated	YCR025C	
TFIID-dominated	YCR026C	
TFIID-dominated	YCR027C	RHB1
TFIID-dominated	YCR028C	FEN2
TFIID-dominated	YCR029C	
TFIID-dominated	YCR029C-A	
no call	YCR030C	SYP1
TFIID-dominated	YCR031C	RPS14A
TFIID-dominated	YCR032W	BPH1
TFIID-dominated	YCR033W	SNT1
TFIID-dominated	YCR034W	FEN1
TFIID-dominated	YCR035C	RRP43
TFIID-dominated	YCR036W	RBK1
TFIID-dominated	YCR037C	PHO87
TFIID-dominated	YCR038C	BUD5
SAGA-dominated	YCR039C	MATALPHA2
TFIID-dominated	YCR040W	MATALPHA1
TFIID-dominated	YCR041W	
TFIID-dominated	YCR042C	TAF2
TFIID-dominated	YCR043C	
TFIID-dominated	YCR044C	PER1
TFIID-dominated	YCR045C	
TFIID-dominated	YCR046C	IMG1
TFIID-dominated	YCR047C	BUD23
TFIID-dominated	YCR048W	ARE1
TFIID-dominated	YCR049C	
TFIID-dominated	YCR050C	
TFIID-dominated	YCR051W	
TFIID-dominated	YCR052W	RSC6
no call	YCR053W	THR4
TFIID-dominated	YCR054C	CTR86
TFIID-dominated	YCR055C	
TFIID-dominated	YCR056W	
TFIID-dominated	YCR057C	PWP2
TFIID-dominated	YCR058C	
TFIID-dominated	YCR059C	YIH1
TFIID-dominated	YCR060W	
TFIID-dominated	YCR061W	
TFIID-dominated	YCR062W	
TFIID-dominated	YCR063W	BUD31
TFIID-dominated	YCR064C	
TFIID-dominated	YCR065W	HCM1
TFIID-dominated	YCR066W	RAD18
TFIID-dominated	YCR067C	SED4
TFIID-dominated	YCR068W	CVT17
no call	YCR069W	CPR4
no call	YCR070W	
TFIID-dominated	YCR071C	IMG2
TFIID-dominated	YCR072C	
TFIID-dominated	YCR073C	SSK22
TFIID-dominated	YCR074C	
TFIID-dominated	YCR075C	ERS1
TFIID-dominated	YCR076C	
TFIID-dominated	YCR077C	PAT1
TFIID-dominated	YCR079W	
TFIID-dominated	YCR080W	
TFIID-dominated	YCR081W	SRB8
TFIID-dominated	YCR082W	
TFIID-dominated	YCR083W	TRX3
TFIID-dominated	YCR084C	TUP1
TFIID-dominated	YCR085W	
TFIID-dominated	YCR086W	CSM1
TFIID-dominated	YCR087W	
TFIID-dominated	YCR088W	ABP1
SAGA-dominated	YCR089W	FIG2
TFIID-dominated	YCR090C	
SAGA-dominated	YCR091W	KIN82
TFIID-dominated	YCR092C	MSH3
TFIID-dominated	YCR093W	CDC39
TFIID-dominated	YCR094W	CDC50
TFIID-dominated	YCR095C	
SAGA-dominated	YCR096C	HMRA2
TFIID-dominated	YCR097W-A	
no call	YCR097W-B	
no call	YCR098C	GIT1
SAGA-dominated	YCR099C	
SAGA-dominated	YCR100C	
SAGA-dominated	YCR101C	
TFIID-dominated	YCR102C	
SAGA/TFIID	YCR103C	
TFIID-dominated	YCR104W	PAU3
SAGA/TFIID	YCR105W	ADH7
TFIID-dominated	YCR106W	RDS1
TFIID-dominated	YCR107W	AAD3
TFIID-dominated	YCRX01W	
no call	YCRX02C	
no call	YCRX03C	
TFIID-dominated	YCRX04W	
TFIID-dominated	YCRX05W	
TFIID-dominated	YCRX06W	
TFIID-dominated	YCRX07W	
TFIID-dominated	YCRX08W	
TFIID-dominated	YCRX09C	
TFIID-dominated	YCRX10W	
TFIID-dominated	YCRX11W	
TFIID-dominated	YCRX12W	
TFIID-dominated	YCRX13W	
TFIID-dominated	YCRX14W	
TFIID-dominated	YCRX15W	
TFIID-dominated	YCRX16C	
TFIID-dominated	YCRX17W	
SAGA-dominated	YCRX18C	
TFIID-dominated	YCRX19W	
TFIID-dominated	YCRX20C	
TFIID-dominated	YCRX21C	
TFIID-dominated	YDL001W	RMD1
TFIID-dominated	YDL002C	NHP10
SAGA-dominated	YDL003W	MCD1
TFIID-dominated	YDL004W	ATP16
TFIID-dominated	YDL005C	MED2
TFIID-dominated	YDL006W	PTC1
TFIID-dominated	YDL007W	RPT2
TFIID-dominated	YDL008W	APC11
TFIID-dominated	YDL009C	
TFIID-dominated	YDL010W	
TFIID-dominated	YDL011C	
TFIID-dominated	YDL012C	
TFIID-dominated	YDL013W	HEX3
TFIID-dominated	YDL014W	NOP1
TFIID-dominated	YDL015C	TSC13
TFIID-dominated	YDL016C	
TFIID-dominated	YDL017W	CDC7
TFIID-dominated	YDL018C	ERP3
TFIID-dominated	YDL019C	OSH2
TFIID-dominated	YDL020C	RPN4
TFIID-dominated	YDL021W	GPM2
SAGA-dominated	YDL022W	GPD1
SAGA-dominated	YDL023C	
no call	YDL024C	DIA3
TFIID-dominated	YDL025C	
TFIID-dominated	YDL026W	
TFIID-dominated	YDL027C	
