	logFC	logCPM	PValue	FDR	de
ENSMUSG00000026019	0.121169506500399	6.5848780325778	0.274161924908841	0.402568135078125	FALSE
ENSMUSG00000026017	0.188121962739869	3.9988377385815	0.173519081371867	0.285007788126101	FALSE
ENSMUSG00000073664	0.447385066935323	7.83226734189176	0.000757716216535154	0.00354426468599249	TRUE
ENSMUSG00000049439	-0.330468887991494	4.89015776827796	0.0126416128433387	0.0363860207923292	TRUE
ENSMUSG00000026782	0.21662217503432	6.61749572059323	0.067237596230998	0.138300658335297	FALSE
ENSMUSG00000026014	0.317660009131155	6.80881945264494	0.0751865097609506	0.150504483621731	FALSE
ENSMUSG00000052062	1.20749856358377	1.0913904268243	7.35520848049142e-05	0.000475286237558754	TRUE
ENSMUSG00000025969	0.945051105264269	5.30750825946918	3.14550093783676e-15	9.60286486311142e-14	TRUE
ENSMUSG00000040865	0.98249537698368	8.59257167865693	7.22147097759909e-11	1.42746141424829e-09	TRUE
ENSMUSG00000025968	0.0493229027463989	7.63836630819901	0.680419826692041	0.779162088780133	FALSE
ENSMUSG00000025967	-0.32401698126253	9.42399850344379	0.0225124157696862	0.0583208689126813	FALSE
ENSMUSG00000046856	0.898036808370557	3.98613011789125	1.22714850486494e-05	9.86457937965747e-05	TRUE
ENSMUSG00000027520	1.25211744857639	9.03730065343747	7.86350679971417e-12	1.75656677096705e-10	TRUE
ENSMUSG00000025964	2.79498802007508	7.27353639501938	2.512697926757e-57	9.08406424152306e-55	TRUE
ENSMUSG00000025962	0.173802249243152	6.60623888333362	0.164655608076285	0.273722016426912	FALSE
ENSMUSG00000025961	-0.0535485657998132	0.572783165102927	1	1	FALSE
ENSMUSG00000025959	0.164726961709373	4.10669654561999	0.301589681808162	0.432714260958802	FALSE
ENSMUSG00000025958	0.262049597994088	6.74769198821247	0.0325460561941276	0.0783043292460465	FALSE
ENSMUSG00000025956	0.0215689347431091	3.65991796908236	0.999999999999999	1	FALSE
ENSMUSG00000070871	0.0727844284321441	4.25542600006099	0.55988997835557	0.679905287956229	FALSE
ENSMUSG00000045005	0.0146423020830057	8.09666279880258	0.908549195373839	0.94436323265838	FALSE
ENSMUSG00000051344	-0.161496960942102	6.1904257688677	0.234164741296806	0.357837065176365	FALSE
ENSMUSG00000025955	0.0533882766302741	3.56430264071222	0.754967325717869	0.836903180885346	FALSE
ENSMUSG00000070870	0.179977969943915	1.69276200709846	0.550146553595536	0.671337125004039	FALSE
ENSMUSG00000067299	0.0359734684374503	2.54087874522359	0.915600332114629	0.949680435076691	FALSE
ENSMUSG00000025952	2.11934289916606	2.53414340671577	2.43029191993224e-20	1.18394859560387e-18	TRUE
ENSMUSG00000044816	0.198105872660246	3.55345236243863	0.259081861073486	0.385285408901012	FALSE
ENSMUSG00000025950	-0.292713243021352	7.92041171948467	0.0498544581944938	0.109461490598682	FALSE
ENSMUSG00000025949	0.189242089561624	7.78581243259003	0.123903499186238	0.220805068338375	FALSE
ENSMUSG00000015222	-0.548038904460672	1.39687011250317	0.148542954985424	0.253312204020576	FALSE
ENSMUSG00000055567	-0.37607795720826	2.58808900208376	0.0775516860996577	0.154138464067867	FALSE
ENSMUSG00000026005	0.115671926866	6.9109693097172	0.338217637390534	0.472016152085899	FALSE
ENSMUSG00000026004	0.490228876489901	6.13311527669195	0.000357023254319137	0.00186635672292097	TRUE
ENSMUSG00000026003	0.358274873817656	2.87364345529163	0.0952001834829477	0.179799301716901	FALSE
ENSMUSG00000026000	0.00976481479048844	5.27066197817289	0.934127028108358	0.961780492554345	FALSE
ENSMUSG00000025991	-0.791292257335244	0.846011912347899	0.0136928483123432	0.0388661880402831	TRUE
