	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000079038	673	687	621	509	182	357
ENSMUSG00000057924	243	269	227	256	84	220
ENSMUSG00000071083	140	139	126	165	50	115
ENSMUSG00000060427	781	750	711	608	153	491
ENSMUSG00000091764	223	186	195	173	62	109
ENSMUSG00000054648	708	699	674	642	132	393
ENSMUSG00000092260	78	87	72	85	23	52
ENSMUSG00000043090	1367	1222	1167	1301	261	928
ENSMUSG00000031862	4046	3819	3509	4584	910	3464
ENSMUSG00000036246	159	148	122	337	64	298
ENSMUSG00000031861	176	132	138	257	51	221
ENSMUSG00000031860	127	81	125	132	28	127
ENSMUSG00000044006	146	124	124	494	118	350
ENSMUSG00000048967	66	43	40	47	4	47
ENSMUSG00000036199	1855	1663	1678	1510	317	954
ENSMUSG00000047654	82	63	73	57	20	51
ENSMUSG00000036180	5472	4839	4248	4409	1186	3622
ENSMUSG00000031858	2682	2489	2270	2733	579	1990
ENSMUSG00000011306	1033	951	763	915	211	709
ENSMUSG00000036151	31	31	33	22	8	26
ENSMUSG00000007594	30	29	22	66	9	75
ENSMUSG00000002341	40	50	29	116	25	101
ENSMUSG00000036120	365	322	288	375	74	246
ENSMUSG00000071078	88	80	84	70	21	58
ENSMUSG00000002345	419	404	433	411	68	245
ENSMUSG00000002342	874	830	719	900	166	564
ENSMUSG00000002346	89	95	86	158	40	153
ENSMUSG00000002343	559	544	430	566	114	365
ENSMUSG00000036054	2876	2731	2290	2968	657	2570
ENSMUSG00000003573	581	578	465	529	104	403
ENSMUSG00000057788	1500	1254	1341	1291	222	749
ENSMUSG00000055681	1577	1430	1385	1357	240	883
ENSMUSG00000087408	20	24	18	19	7	18
ENSMUSG00000058301	2613	2466	2212	2142	517	1974
ENSMUSG00000031849	27	25	22	14	3	8
ENSMUSG00000003575	181	227	165	199	56	319
ENSMUSG00000055707	416	377	356	451	95	335
ENSMUSG00000035964	7	10	6	34	10	30
ENSMUSG00000007888	31	19	16	38	2	31
ENSMUSG00000058833	641	587	664	492	107	300
ENSMUSG00000090137	175	153	150	168	32	117
ENSMUSG00000055553	979	898	824	771	151	450
ENSMUSG00000019428	4486	3946	4026	4345	732	2693
ENSMUSG00000070002	491	480	426	465	138	391
ENSMUSG00000019139	1887	1598	1738	2560	465	1487
ENSMUSG00000070003	1271	969	1224	1140	256	766
ENSMUSG00000038508	501	517	523	452	96	323
ENSMUSG00000056204	1798	1504	1485	1609	319	970
ENSMUSG00000031848	1960	1644	1725	1372	344	815
ENSMUSG00000071076	854	645	781	639	158	500
ENSMUSG00000095026	80	67	62	101	13	51
ENSMUSG00000031842	118	108	105	82	21	111
ENSMUSG00000031840	197	156	146	168	36	126
ENSMUSG00000035559	295	244	278	257	42	194
ENSMUSG00000031838	1040	912	754	977	198	596
ENSMUSG00000031834	1139	920	986	924	182	669
ENSMUSG00000031833	490	478	376	439	140	503
ENSMUSG00000000791	14	20	19	31	3	22
ENSMUSG00000002910	347	205	193	307	58	154
ENSMUSG00000002908	125	93	89	66	17	68
ENSMUSG00000007721	900	777	794	819	169	419
ENSMUSG00000000792	50	45	34	58	22	94
ENSMUSG00000045128	2380	2051	2095	2039	407	1304
ENSMUSG00000019261	983	944	913	1057	205	959
ENSMUSG00000035439	1228	1036	1003	710	154	449
ENSMUSG00000004677	3163	2748	2528	2432	543	1868
ENSMUSG00000002395	1926	1636	1686	1710	321	964
ENSMUSG00000002396	278	206	235	264	59	185
ENSMUSG00000002393	128	116	130	129	39	114
ENSMUSG00000034911	138	118	126	143	17	82
ENSMUSG00000031820	1079	1014	945	851	154	518
ENSMUSG00000046295	664	606	571	766	139	603
ENSMUSG00000007950	221	160	189	158	41	97
ENSMUSG00000034880	715	558	611	649	138	369
ENSMUSG00000074247	929	792	801	785	153	512
ENSMUSG00000034863	322	253	256	519	116	355
ENSMUSG00000007610	967	857	859	997	151	694
ENSMUSG00000034845	25	35	21	68	28	62
ENSMUSG00000046718	243	192	196	287	46	187
ENSMUSG00000031813	732	618	682	605	141	375
ENSMUSG00000031808	527	471	424	508	76	373
ENSMUSG00000031807	846	689	791	769	170	412
ENSMUSG00000043243	117	100	101	143	20	103
ENSMUSG00000034807	5878	5258	4871	4858	1161	3112
ENSMUSG00000034799	518	508	437	548	150	507
ENSMUSG00000031805	656	689	532	409	103	405
ENSMUSG00000031803	92	77	94	160	32	93
ENSMUSG00000070000	565	517	504	574	138	494
ENSMUSG00000056019	648	566	533	679	184	466
ENSMUSG00000089857	460	394	401	558	155	360
ENSMUSG00000066880	426	340	373	331	75	238
ENSMUSG00000052446	4850	4791	4359	5324	1447	3896
ENSMUSG00000031799	2264	1875	1922	1537	368	858
ENSMUSG00000003037	1911	1767	1634	1357	278	841
ENSMUSG00000062007	58	58	59	18	3	21
ENSMUSG00000003039	1619	1432	1405	1447	281	788
ENSMUSG00000003033	1182	1009	932	765	166	641
ENSMUSG00000055148	1912	1836	1695	968	426	954
ENSMUSG00000006276	1930	1860	1523	1648	377	1557
ENSMUSG00000019732	59	47	51	42	10	41
ENSMUSG00000052794	325	310	260	296	72	248
ENSMUSG00000052488	1408	1421	1042	1219	337	1347
ENSMUSG00000019731	2400	2053	2055	1948	436	1308
ENSMUSG00000045248	713	638	593	582	154	508
ENSMUSG00000044600	1357	1189	1210	1176	231	666
ENSMUSG00000031791	228	199	175	180	46	181
ENSMUSG00000048148	51	38	35	6	2	9
ENSMUSG00000031622	4173	3545	3494	2878	577	1708
ENSMUSG00000004383	1301	1312	1089	1019	260	1109
ENSMUSG00000034518	2779	2694	2410	2750	565	1662
ENSMUSG00000042870	57	40	46	40	13	50
ENSMUSG00000005413	1645	1303	1265	992	204	687
ENSMUSG00000005410	16183	14529	13847	13311	2393	8198
ENSMUSG00000034472	37	31	29	48	12	49
ENSMUSG00000031618	123	156	108	104	46	113
ENSMUSG00000037148	349	332	279	490	98	407
ENSMUSG00000037134	1019	867	839	884	224	567
ENSMUSG00000031617	917	871	852	991	277	510
ENSMUSG00000037101	33	42	33	29	10	8
ENSMUSG00000031688	107	113	91	96	27	49
ENSMUSG00000037070	534	490	471	503	106	294
ENSMUSG00000031684	1614	1538	1365	2302	557	1930
ENSMUSG00000031683	779	727	583	849	170	550
ENSMUSG00000071064	742	784	579	987	272	1247
ENSMUSG00000037022	99	90	72	108	24	71
ENSMUSG00000031681	406	410	325	342	91	298
ENSMUSG00000036990	8325	7423	6666	8140	2206	5415
ENSMUSG00000058355	12238	10847	10499	9938	2444	5267
ENSMUSG00000036977	715	672	641	532	144	365
ENSMUSG00000064325	139	165	142	175	39	128
ENSMUSG00000042353	22	23	19	16	2	23
ENSMUSG00000031715	5114	4598	4504	3953	1213	2471
ENSMUSG00000031714	6438	5849	5169	5813	1385	4516
ENSMUSG00000038250	2225	1923	1935	1744	430	1149
ENSMUSG00000031711	960	792	777	998	221	526
ENSMUSG00000031709	701	609	552	461	113	426
ENSMUSG00000035151	498	461	415	635	185	369
ENSMUSG00000002190	144	139	109	538	120	384
ENSMUSG00000063253	133	120	116	177	33	99
ENSMUSG00000033938	1503	1399	1336	1303	264	798
ENSMUSG00000031708	2862	2335	2458	2803	517	1595
ENSMUSG00000005483	1103	974	953	828	151	493
ENSMUSG00000019433	1891	1671	1691	2140	386	1395
ENSMUSG00000019464	115	101	97	117	24	155
ENSMUSG00000057672	751	714	682	693	111	514
ENSMUSG00000005481	6440	5920	5894	5725	1039	3299
ENSMUSG00000002885	3284	2907	2676	5079	1164	3613
ENSMUSG00000013033	1653	1526	1270	1724	419	1957
ENSMUSG00000074219	40	52	27	59	11	76
ENSMUSG00000005470	843	762	711	707	149	398
ENSMUSG00000005469	1088	927	906	848	208	572
ENSMUSG00000079003	1814	1468	1669	1775	435	1032
ENSMUSG00000046408	64	39	39	66	12	48
ENSMUSG00000074217	148	93	111	155	43	101
ENSMUSG00000047986	1261	1085	981	1127	232	662
ENSMUSG00000005465	59	41	52	60	16	48
ENSMUSG00000045232	32	21	17	29	9	16
ENSMUSG00000074215	14	17	24	19	5	12
ENSMUSG00000056753	16	17	11	19	6	7
ENSMUSG00000031706	340	355	295	411	97	439
ENSMUSG00000037103	1539	1378	1383	1518	307	1076
ENSMUSG00000012889	32	37	23	36	11	48
ENSMUSG00000036686	649	562	499	570	131	473
ENSMUSG00000008129	250	212	201	220	40	188
ENSMUSG00000056155	51	50	49	44	9	48
ENSMUSG00000035671	646	661	590	787	168	581
ENSMUSG00000019362	1296	1059	1042	1040	169	563
ENSMUSG00000004996	955	855	783	815	122	576
ENSMUSG00000004994	400	360	317	381	67	229
ENSMUSG00000034656	1914	1868	1464	1898	557	2248
ENSMUSG00000053560	1791	1386	1561	1604	406	1135
ENSMUSG00000001910	3985	3553	3431	3861	807	2714
ENSMUSG00000001909	3950	3656	3099	4270	843	3362
ENSMUSG00000001911	112	104	95	99	40	143
ENSMUSG00000034041	12	8	10	19	8	18
ENSMUSG00000074203	26	27	31	28	6	19
ENSMUSG00000053226	89	52	68	82	21	70
ENSMUSG00000033751	785	666	737	705	115	397
ENSMUSG00000003813	1495	1435	1264	1215	208	804
ENSMUSG00000003814	23863	19643	18830	25214	5436	13075
ENSMUSG00000003808	2648	2285	2270	2483	426	1581
ENSMUSG00000003824	1185	921	1004	875	193	476
ENSMUSG00000003809	1575	1395	1279	1546	306	878
ENSMUSG00000054191	52	36	35	44	7	34
ENSMUSG00000003812	1487	1318	1213	1040	224	712
ENSMUSG00000053693	276	331	187	189	48	333
ENSMUSG00000048617	16	20	26	19	6	25
ENSMUSG00000052926	1982	1741	1627	1606	292	959
ENSMUSG00000005161	4861	3913	3844	3033	673	1699
ENSMUSG00000052837	275	230	262	152	37	84
ENSMUSG00000052566	1228	1042	971	806	149	647
ENSMUSG00000052456	5569	4942	4918	4020	749	2192
ENSMUSG00000041203	2090	1898	2049	1531	398	1014
ENSMUSG00000031691	4885	4298	3852	3618	677	2838
ENSMUSG00000008167	985	826	852	820	146	550
ENSMUSG00000060038	970	890	874	859	161	541
ENSMUSG00000005150	508	538	410	486	90	345
ENSMUSG00000059355	209	203	194	224	18	150
ENSMUSG00000005142	2796	2514	2334	2579	523	1626
ENSMUSG00000074194	58	48	44	45	11	34
ENSMUSG00000062687	27	27	21	22	4	10
ENSMUSG00000031696	8181	7395	7482	5691	1457	3373
ENSMUSG00000031697	2545	2119	2273	1896	502	1037
ENSMUSG00000036934	305	273	269	277	105	203
ENSMUSG00000031700	6868	6230	5618	3973	807	2859
ENSMUSG00000031701	4908	4272	4321	4164	1159	2444
ENSMUSG00000036902	282	298	247	524	171	386
ENSMUSG00000031703	1176	1074	1069	1190	338	731
ENSMUSG00000036879	1268	1303	1046	1389	432	1303
ENSMUSG00000047866	1272	1116	896	1357	357	995
ENSMUSG00000036840	434	399	354	440	141	299
ENSMUSG00000031652	4027	3722	3188	4044	1006	3177
ENSMUSG00000031654	92	64	64	94	23	40
ENSMUSG00000045333	95	127	96	1120	392	1498
ENSMUSG00000036810	631	575	502	594	197	477
ENSMUSG00000031657	2059	1786	1825	1782	417	1211
ENSMUSG00000036779	1534	1452	1388	1648	482	1051
ENSMUSG00000031659	176	191	117	254	70	239
ENSMUSG00000031660	1862	1715	1471	1536	431	1148
ENSMUSG00000031661	13	14	19	14	8	15
ENSMUSG00000031662	42	45	39	25	9	22
ENSMUSG00000055994	62	68	60	8	7	7
ENSMUSG00000036712	729	633	631	748	196	523
ENSMUSG00000031665	3092	2961	2386	2562	632	2195
ENSMUSG00000094790	88	74	61	65	24	37
ENSMUSG00000056608	3581	3564	2826	5521	1743	4855
ENSMUSG00000031666	526	547	392	694	202	655
ENSMUSG00000031667	689	610	603	785	190	475
ENSMUSG00000033282	277	248	242	307	76	270
ENSMUSG00000055932	1588	1557	1210	1462	340	1481
ENSMUSG00000031740	74	77	55	117	26	90
ENSMUSG00000033192	23	13	15	26	8	24
ENSMUSG00000031748	19	25	9	18	4	35
ENSMUSG00000031751	882	831	821	1002	199	649
ENSMUSG00000031754	656	641	617	659	169	366
ENSMUSG00000033009	1614	1412	1373	1262	248	818
ENSMUSG00000031755	307	292	246	646	136	416
ENSMUSG00000031762	2226	1992	1837	1339	339	794
ENSMUSG00000031765	2629	2258	2082	1197	254	638
ENSMUSG00000032939	3676	3266	2958	3496	781	2394
ENSMUSG00000031770	1802	1637	1581	1806	419	1016
ENSMUSG00000034361	96	94	72	71	27	58
ENSMUSG00000031774	1012	877	855	887	179	497
ENSMUSG00000050079	871	849	745	726	223	564
ENSMUSG00000031776	608	585	601	475	115	312
ENSMUSG00000031775	37	29	26	49	12	51
ENSMUSG00000031778	49	54	68	82	20	59
ENSMUSG00000031781	2341	2020	2011	1923	343	1266
ENSMUSG00000031782	596	588	509	506	97	361
ENSMUSG00000031783	646	552	580	533	96	308
ENSMUSG00000040631	91	77	72	173	33	135
ENSMUSG00000063605	76	55	67	120	27	102
ENSMUSG00000031785	57	60	66	45	10	39
ENSMUSG00000031787	1105	923	829	962	198	615
ENSMUSG00000031788	353	334	336	882	171	682
ENSMUSG00000031789	15	15	8	23	5	20
ENSMUSG00000090206	6	15	13	13	6	18
ENSMUSG00000046556	180	181	139	206	46	165
ENSMUSG00000031792	465	410	426	455	75	279
ENSMUSG00000031790	343	300	299	473	117	390
ENSMUSG00000031796	907	780	801	735	208	468
ENSMUSG00000046707	990	905	842	930	274	838
ENSMUSG00000036598	46	35	32	40	18	27
ENSMUSG00000031669	586	539	538	587	161	451
ENSMUSG00000036564	433	470	343	334	85	283
ENSMUSG00000031671	1583	1371	1235	1442	347	943
ENSMUSG00000036550	22874	21096	17489	19117	4979	15169
ENSMUSG00000061104	388	386	311	293	51	162
ENSMUSG00000036534	2552	2481	2229	1766	419	1450
ENSMUSG00000031672	1619	1459	1391	1377	251	784
ENSMUSG00000031673	56	36	35	53	9	33
ENSMUSG00000063696	2857	2458	2647	1987	425	1097
ENSMUSG00000035824	460	342	345	335	84	235
ENSMUSG00000054400	229	214	217	268	59	148
ENSMUSG00000031875	146	137	100	71	18	52
ENSMUSG00000096188	2709	2359	2286	2265	557	1763
ENSMUSG00000035770	1709	1688	1449	1651	347	1095
ENSMUSG00000052616	14	15	12	14	12	23
ENSMUSG00000031878	2032	1899	1823	1839	491	1125
ENSMUSG00000031883	24	13	22	29	6	18
ENSMUSG00000048371	2301	1880	1816	1279	235	874
ENSMUSG00000031879	546	439	414	482	94	276
ENSMUSG00000031885	2119	1871	1700	1609	395	1057
ENSMUSG00000031889	3828	3474	3257	2248	561	1731
ENSMUSG00000069920	164	160	113	116	54	174
ENSMUSG00000031887	265	239	233	193	33	121
ENSMUSG00000033313	46	41	34	56	7	33
ENSMUSG00000033249	7	8	7	13	4	19
ENSMUSG00000014776	36	25	21	12	8	19
ENSMUSG00000014837	76	84	72	80	13	103
ENSMUSG00000043251	294	268	254	774	117	588
ENSMUSG00000014859	2077	1757	1624	1781	361	1289
ENSMUSG00000014791	309	288	225	269	48	262
ENSMUSG00000041679	76	69	53	91	14	112
ENSMUSG00000014856	758	698	673	772	147	426
ENSMUSG00000014778	282	310	243	310	62	323
ENSMUSG00000014786	90	72	79	253	55	227
ENSMUSG00000014782	23	9	7	42	6	26
ENSMUSG00000014846	87	65	89	57	10	32
ENSMUSG00000039199	72	63	58	66	15	58
ENSMUSG00000031891	20	20	17	28	2	30
ENSMUSG00000013160	1459	1355	1328	1240	274	780
ENSMUSG00000005705	19	10	11	29	6	12
ENSMUSG00000038604	222	249	166	269	77	373
ENSMUSG00000005698	4145	3935	3392	3621	999	2563
ENSMUSG00000050357	134	116	102	108	38	135
ENSMUSG00000038000	556	505	457	388	66	261
ENSMUSG00000005699	204	150	170	159	21	103
ENSMUSG00000013155	518	464	448	563	90	265
ENSMUSG00000013150	257	258	209	240	60	159
ENSMUSG00000037415	743	740	601	672	140	698
ENSMUSG00000031893	41	46	36	51	9	98
ENSMUSG00000036672	1770	1516	1455	1931	389	1394
ENSMUSG00000036442	882	753	798	706	126	401
ENSMUSG00000008450	568	455	451	440	102	319
ENSMUSG00000036270	3428	3196	2948	3242	659	2441
ENSMUSG00000048310	821	738	751	719	139	419
ENSMUSG00000031896	35	33	28	49	4	28
ENSMUSG00000031897	119	109	87	211	33	118
ENSMUSG00000035237	15	14	17	26	3	23
ENSMUSG00000017765	1019	881	757	1630	342	1270
ENSMUSG00000031898	60	38	39	59	20	62
ENSMUSG00000053687	36	28	36	52	7	32
ENSMUSG00000031901	513	525	504	521	119	376
ENSMUSG00000045538	759	658	636	717	100	385
ENSMUSG00000031902	2449	2241	2027	2202	708	1857
ENSMUSG00000084128	384	425	320	295	60	271
ENSMUSG00000031903	746	692	621	593	129	406
ENSMUSG00000031904	2279	2070	1821	2466	574	1522
ENSMUSG00000033106	1093	917	965	950	259	623
ENSMUSG00000060098	2983	2622	2499	2256	421	1485
ENSMUSG00000031906	69	114	73	111	24	148
ENSMUSG00000031907	274	250	180	216	42	149
ENSMUSG00000061048	1223	1129	860	1823	381	1257
ENSMUSG00000060019	3049	2831	2719	2245	345	1135
ENSMUSG00000000303	19743	18434	14322	16873	4090	14713
ENSMUSG00000041949	1207	1207	955	1181	291	1230
ENSMUSG00000031910	647	740	462	847	225	870
ENSMUSG00000046691	2456	2182	2160	2015	390	1362
ENSMUSG00000041438	4620	4159	4105	3856	812	2330
ENSMUSG00000041308	2177	2045	1750	3070	738	2495
ENSMUSG00000031913	826	765	734	798	176	493
ENSMUSG00000078931	34	34	30	42	10	33
ENSMUSG00000031916	1475	1210	1317	1234	248	763
ENSMUSG00000031917	2665	2163	2186	2241	541	1205
ENSMUSG00000031921	873	811	681	624	149	522
ENSMUSG00000031924	6052	5195	5312	4332	957	2902
ENSMUSG00000057657	300	297	332	246	46	145
ENSMUSG00000003847	1676	1907	1240	3123	1170	4040
ENSMUSG00000003849	887	742	828	673	132	301
ENSMUSG00000003848	1692	1532	1307	1492	317	989
ENSMUSG00000031930	3352	3218	2818	3062	639	2041
ENSMUSG00000059775	629	575	618	525	130	276
ENSMUSG00000039067	3041	2522	2203	2430	593	1538
ENSMUSG00000038872	487	688	456	899	415	2287
ENSMUSG00000037993	2977	2480	2302	2367	479	1660
ENSMUSG00000031723	170	170	163	150	25	93
ENSMUSG00000031730	1118	917	935	1000	192	683
ENSMUSG00000048827	26	38	32	44	16	41
ENSMUSG00000031729	1397	1277	1171	1003	236	587
ENSMUSG00000031728	223	209	215	195	41	133
ENSMUSG00000069895	857	738	585	715	170	537
ENSMUSG00000031731	3955	3850	3293	3482	875	2757
ENSMUSG00000031732	514	427	325	285	72	368
ENSMUSG00000044676	120	111	102	121	27	100
ENSMUSG00000046441	275	253	249	282	58	98
ENSMUSG00000059854	425	372	319	432	118	374
ENSMUSG00000010936	1987	1882	1667	1639	336	1356
ENSMUSG00000033763	321	337	249	253	88	329
ENSMUSG00000031750	284	268	253	121	25	106
ENSMUSG00000033732	12309	10612	9851	11582	2609	7412
ENSMUSG00000031753	2897	2469	2275	2440	525	1595
ENSMUSG00000033703	1358	1101	1077	1113	233	842
ENSMUSG00000031749	574	498	455	480	127	434
ENSMUSG00000015023	1252	1067	1071	919	185	605
ENSMUSG00000033658	2268	2057	1826	2202	523	1336
ENSMUSG00000031960	25204	23779	21077	18597	3839	11982
ENSMUSG00000033624	1348	1192	978	1300	282	968
ENSMUSG00000003316	7620	7181	6195	9106	2331	7797
ENSMUSG00000033596	2155	1786	1765	1839	378	1207
ENSMUSG00000031959	898	841	713	839	208	794
ENSMUSG00000033545	682	590	567	765	204	715
ENSMUSG00000031958	106	91	85	92	28	107
ENSMUSG00000055835	429	442	387	416	97	306
ENSMUSG00000031955	699	546	568	1729	381	1285
ENSMUSG00000031954	4310	3766	3482	3871	1102	2117
ENSMUSG00000031953	459	418	411	553	116	366
ENSMUSG00000031952	19	17	16	109	13	62
ENSMUSG00000031951	2049	1668	1649	1881	441	1200
ENSMUSG00000031950	2124	1978	1938	2486	575	1705
ENSMUSG00000031949	694	660	571	807	214	974
ENSMUSG00000031948	7833	6986	6305	7055	1345	3933
ENSMUSG00000033430	482	442	395	367	79	276
ENSMUSG00000092086	16	19	14	15	5	8
ENSMUSG00000078908	238	216	200	230	49	171
ENSMUSG00000031767	28	22	19	19	3	12
ENSMUSG00000046844	28	28	23	44	6	23
ENSMUSG00000004637	327	388	282	316	72	461
ENSMUSG00000031758	5383	5002	4309	5211	1196	4545
ENSMUSG00000014633	281	241	246	230	55	148
ENSMUSG00000031756	1055	917	930	882	212	494
ENSMUSG00000047388	2908	2488	2534	2134	490	1434
ENSMUSG00000031847	94	86	68	81	25	60
ENSMUSG00000034424	2813	2468	2598	2240	557	1172
ENSMUSG00000034416	202	175	172	59	15	46
ENSMUSG00000052557	620	670	568	585	132	632
ENSMUSG00000034390	817	818	574	968	351	1495
ENSMUSG00000034330	817	687	675	1350	326	835
ENSMUSG00000031843	1040	918	954	848	244	417
ENSMUSG00000031839	1253	1018	1022	1028	265	584
ENSMUSG00000074064	70	71	65	74	19	54
ENSMUSG00000074063	9	11	10	30	4	18
ENSMUSG00000031837	152	166	160	432	93	328
ENSMUSG00000034224	35	32	35	123	39	148
ENSMUSG00000031835	6834	6197	5462	7352	1788	5457
ENSMUSG00000034189	870	719	740	848	163	562
ENSMUSG00000031831	39	32	29	39	13	24
ENSMUSG00000031832	739	611	602	844	130	554
ENSMUSG00000024266	91	83	102	378	54	273
ENSMUSG00000045246	48	47	34	145	31	122
ENSMUSG00000034105	204	167	148	151	34	89
ENSMUSG00000031827	118	102	80	360	59	228
ENSMUSG00000031828	70	44	52	54	11	26
ENSMUSG00000031826	4510	3989	3513	3404	805	2641
ENSMUSG00000031823	365	340	330	361	79	247
ENSMUSG00000031822	655	641	445	681	212	965
ENSMUSG00000031821	884	671	723	650	114	393
ENSMUSG00000043687	33	32	31	109	21	67
ENSMUSG00000031819	1847	1597	1431	1620	412	1245
ENSMUSG00000031818	9886	8808	8450	9305	1930	5453
ENSMUSG00000031816	769	704	577	867	167	640
ENSMUSG00000031809	40	26	25	37	6	19
ENSMUSG00000052934	673	622	568	599	142	478
ENSMUSG00000031812	1726	1551	1499	1100	194	627
ENSMUSG00000061410	993	895	771	873	229	966
ENSMUSG00000025318	69	79	62	99	35	108
ENSMUSG00000040263	2263	1956	1792	2129	465	1557
ENSMUSG00000040010	8064	7682	6811	7363	1775	6987
ENSMUSG00000025317	49	41	36	22	6	26
ENSMUSG00000025316	1194	1095	958	1322	250	864
ENSMUSG00000049577	163	126	135	233	67	196
ENSMUSG00000017478	2620	2487	2200	2715	600	2058
ENSMUSG00000006519	268	202	170	257	46	128
ENSMUSG00000006517	718	595	578	647	103	363
ENSMUSG00000006587	5	4	3	27	2	20
ENSMUSG00000014470	274	244	240	214	42	145
ENSMUSG00000049482	1053	907	903	1003	206	637
ENSMUSG00000014444	3066	2998	2361	3574	994	4020
ENSMUSG00000006585	2529	2465	2287	2231	589	1933
ENSMUSG00000006589	2020	1663	1787	1835	284	1034
ENSMUSG00000015027	272	212	205	229	52	170
ENSMUSG00000015013	464	396	379	386	73	188
ENSMUSG00000015016	335	327	250	286	43	224
ENSMUSG00000035569	10516	10678	8130	10958	3157	10611
ENSMUSG00000000738	1687	1537	1404	1629	341	1042
ENSMUSG00000000740	4054	3641	3603	3038	618	1608
ENSMUSG00000034796	7	7	6	37	4	19
ENSMUSG00000000739	23	20	12	18	2	11
ENSMUSG00000000743	1415	1207	1217	1101	200	673
ENSMUSG00000033862	461	411	375	390	82	274
ENSMUSG00000033594	99	101	62	98	18	109
ENSMUSG00000001062	294	260	231	274	61	240
ENSMUSG00000001065	734	641	556	668	101	490
ENSMUSG00000032815	2453	2254	1829	2114	452	1893
ENSMUSG00000010154	507	426	414	530	112	377
ENSMUSG00000001472	5237	4535	4311	3939	796	2616
ENSMUSG00000062380	1238	1048	1126	357	66	172
ENSMUSG00000001482	2030	1804	1609	1484	273	1041
ENSMUSG00000031967	2039	1772	1518	1523	359	1314
ENSMUSG00000031970	119	116	74	110	26	160
ENSMUSG00000040220	274	261	217	220	41	179
ENSMUSG00000039960	329	296	280	295	67	215
ENSMUSG00000019478	917	921	810	649	152	508
ENSMUSG00000031971	366	338	300	381	85	288
ENSMUSG00000031972	19	36	19	28	8	15
ENSMUSG00000039509	4991	4385	4152	4410	932	2820
ENSMUSG00000031974	1071	909	870	963	216	652
ENSMUSG00000038697	3213	2806	2819	2503	544	1551
ENSMUSG00000031976	4791	4257	4029	4428	882	3382
ENSMUSG00000050751	135	126	107	119	26	111
ENSMUSG00000031979	1099	1048	973	1019	240	741
ENSMUSG00000031983	273	234	183	178	43	117
ENSMUSG00000037300	2671	2533	2224	2654	646	1959
ENSMUSG00000031982	216	169	177	250	60	224
ENSMUSG00000043068	33	29	30	48	12	59
ENSMUSG00000036913	12	26	8	15	5	14
ENSMUSG00000031984	1890	1707	1552	1648	353	932
ENSMUSG00000031985	2990	2703	2489	2948	622	1864
ENSMUSG00000074030	1193	1093	1043	1128	228	834
ENSMUSG00000031986	446	395	310	332	99	251
ENSMUSG00000031987	590	389	442	437	144	356
ENSMUSG00000056820	794	715	632	875	214	499
ENSMUSG00000043051	35	41	15	42	8	64
ENSMUSG00000001995	2688	2565	2249	1918	429	1660
ENSMUSG00000050930	747	613	644	621	177	429
ENSMUSG00000031851	336	286	269	428	83	273
ENSMUSG00000060212	52	58	57	434	84	288
ENSMUSG00000033998	299	274	267	240	56	176
ENSMUSG00000051671	240	234	242	232	70	160
ENSMUSG00000090290	1180	1059	967	990	202	810
ENSMUSG00000051495	1162	995	989	941	226	698
ENSMUSG00000093904	3626	3240	3269	3308	778	2150
ENSMUSG00000033931	1081	955	915	954	231	660
ENSMUSG00000025812	2434	2491	1921	2625	830	2733
ENSMUSG00000025810	30	34	28	108	19	64
ENSMUSG00000025809	7862	6976	6224	9603	2738	5945
ENSMUSG00000071302	767	762	706	862	241	586
ENSMUSG00000095891	7	10	3	14	3	18
ENSMUSG00000025899	518	489	445	536	145	439
ENSMUSG00000025898	1479	1366	1168	1100	339	760
ENSMUSG00000041624	437	431	385	270	79	257
ENSMUSG00000025894	1012	892	841	909	233	579
ENSMUSG00000025893	44	41	38	53	15	41
ENSMUSG00000041124	962	848	876	725	187	409
ENSMUSG00000047193	1317	1396	1041	1467	471	1365
ENSMUSG00000032002	964	812	835	818	220	467
ENSMUSG00000074516	194	201	194	177	23	118
ENSMUSG00000050912	705	696	617	726	209	476
ENSMUSG00000057367	1226	1107	1085	1116	288	667
ENSMUSG00000032000	109	119	119	83	19	73
ENSMUSG00000053110	2874	2610	2288	2756	735	2442
ENSMUSG00000053070	21	20	12	19	4	18
ENSMUSG00000040729	73	97	71	108	36	113
ENSMUSG00000031997	89	121	101	34	6	20
ENSMUSG00000031870	29	20	24	24	14	24
ENSMUSG00000050730	488	454	394	365	148	335
ENSMUSG00000079083	163	149	115	109	51	75
ENSMUSG00000079084	40	49	40	39	6	28
ENSMUSG00000031925	205	214	171	47	15	42
ENSMUSG00000031918	1517	1425	1343	1414	352	829
ENSMUSG00000031922	1762	1624	1435	1287	385	902
ENSMUSG00000037808	1104	1056	835	796	219	535
ENSMUSG00000032009	241	230	201	151	41	137
ENSMUSG00000037419	86	64	59	48	15	33
ENSMUSG00000004096	915	859	870	818	225	410
ENSMUSG00000013076	959	846	780	1162	244	843
ENSMUSG00000031931	479	450	421	419	114	255
ENSMUSG00000031928	1729	1593	1405	1349	373	1162
ENSMUSG00000031932	15	21	14	16	3	14
ENSMUSG00000031934	241	227	235	252	58	170
ENSMUSG00000031937	113	88	79	97	22	71
ENSMUSG00000031935	1470	1324	1269	1210	293	757
ENSMUSG00000031938	202	206	169	194	64	197
