	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000009907	2105	1925	1714	1901	522	1269
ENSMUSG00000038702	328	269	265	290	81	166
ENSMUSG00000102030	24	12	14	20	8	13
ENSMUSG00000026374	2824	2494	2421	2399	528	1549
ENSMUSG00000026377	1461	1347	1347	1520	401	881
ENSMUSG00000064302	2385	2196	1883	2183	568	2150
ENSMUSG00000026380	36454	33872	31303	13504	2979	9432
ENSMUSG00000048402	670	808	602	486	191	803
ENSMUSG00000037035	215	207	168	1017	221	781
ENSMUSG00000004451	1465	1194	1139	722	173	496
ENSMUSG00000098923	705	620	595	762	167	437
ENSMUSG00000026383	852	848	636	822	224	804
ENSMUSG00000026384	1576	1533	1283	2409	739	1674
ENSMUSG00000036975	337	293	296	300	59	154
ENSMUSG00000050777	116	83	84	140	25	81
ENSMUSG00000026385	1257	1088	1011	1162	305	580
ENSMUSG00000026388	53	49	36	50	11	29
ENSMUSG00000026389	584	530	451	1900	394	1487
ENSMUSG00000003721	299	257	187	287	79	220
ENSMUSG00000026339	2635	2295	2008	1386	388	1051
ENSMUSG00000050534	15	16	15	15	1	13
ENSMUSG00000001674	994	879	945	975	188	591
ENSMUSG00000026341	1762	1530	1492	1277	312	790
ENSMUSG00000026342	74	62	67	93	13	52
ENSMUSG00000036155	586	619	491	525	124	506
ENSMUSG00000026348	18	26	15	18	5	16
ENSMUSG00000026349	4696	4492	3627	4159	1186	3177
ENSMUSG00000036104	1104	1042	979	1026	219	748
ENSMUSG00000036086	1788	1656	1438	1433	410	1283
ENSMUSG00000056211	3050	3317	2156	3159	1048	3204
ENSMUSG00000026353	1428	1266	1175	1135	280	591
ENSMUSG00000026354	42	22	21	27	5	26
ENSMUSG00000026355	10381	9022	9319	7606	1794	4509
ENSMUSG00000026356	5094	4405	4629	3701	986	2121
ENSMUSG00000045382	15	23	22	34	5	17
ENSMUSG00000026401	22	14	20	10	2	4
ENSMUSG00000026399	852	808	635	329	99	229
ENSMUSG00000042554	12	9	13	18	3	25
ENSMUSG00000026409	343	300	252	218	38	134
ENSMUSG00000046404	339	324	263	236	65	157
ENSMUSG00000042510	41	34	37	12	4	7
ENSMUSG00000016528	467	416	398	365	87	249
ENSMUSG00000016526	874	819	767	800	201	488
ENSMUSG00000026427	2521	2378	2043	2264	515	1690
ENSMUSG00000026430	123	180	92	163	53	232
ENSMUSG00000042349	46	46	36	67	12	39
ENSMUSG00000026425	1723	1683	1344	1550	395	1651
ENSMUSG00000055184	123	98	111	115	29	72
ENSMUSG00000042251	190	183	168	203	52	180
ENSMUSG00000013275	1150	1002	911	1059	213	744
ENSMUSG00000026433	177	137	170	211	28	114
ENSMUSG00000026434	17585	16906	14505	17912	4541	12316
ENSMUSG00000026435	146	130	112	140	34	98
ENSMUSG00000026436	542	481	416	574	144	569
ENSMUSG00000059149	257	258	212	280	71	326
ENSMUSG00000026437	343	297	267	322	67	253
ENSMUSG00000079330	346	373	294	375	83	361
ENSMUSG00000042115	10	12	13	34	11	28
ENSMUSG00000009772	133	97	111	204	51	156
ENSMUSG00000042066	275	240	248	217	64	176
ENSMUSG00000042046	915	810	770	864	208	742
ENSMUSG00000026439	2767	2552	2310	2329	544	1653
ENSMUSG00000048174	298	281	232	332	81	281
ENSMUSG00000053024	199	200	161	248	58	265
ENSMUSG00000026442	66	52	33	56	19	65
ENSMUSG00000026443	69	70	48	18	8	42
ENSMUSG00000054387	8829	8872	7043	9771	2761	8249
ENSMUSG00000026447	406	392	283	547	128	662
ENSMUSG00000046062	4451	4188	3631	4635	1140	3455
ENSMUSG00000041757	166	152	114	361	89	391
ENSMUSG00000070645	57	39	46	40	11	22
ENSMUSG00000070644	198	176	200	394	74	279
ENSMUSG00000070643	368	340	329	457	109	424
ENSMUSG00000090553	823	677	752	648	133	365
ENSMUSG00000102976	478	455	328	422	166	410
ENSMUSG00000094410	259	246	204	249	86	270
